# ---------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Mental Disorders
# Potential problems for PCs who go insane, see something they can't handle, etc.
# Copyright 1998 Bruce A. Gulke
#
# Modified by Valminder April 2002
#    I changed the "START" line.
# Modified by Dawn M. Burge November 2004
#    Redid the "Start" line
#    Depreciated HTML removal
#    Added input line
#    Phobias, Manias, and Philias added
#    Phobias, Manias, and Philias collected from Forthright's Phrontistery (http://phrontistery.50megs.com/index.html)
#
# Modified by Valminder, Feb 2006.
#    Adapted for TSv5.
#    I removed the header from the "START" line.
#    I removed "Override" and "Input~"
#

#/OverrideRolls 1

%desc%,
%G%,1

@G,1,Enter the number of disorders to generate

:Start
1,{Status~By Bruce A. Gulke 1998, Dawn M. Burge 2002}
#_{Input~G,How many disorders would you like to generate?,1}
_{Loop~%G%,{Cap~[Generate]}.}
#1,<h1>Mental Disorders & Insanities</h1><h2>by Bruce A. Gulke and <a href=mailto:fantasy@xecu.net>Dawn M. Burge</a></h2>{Input~G,How many disorders would you like to generate?,1}{Loop~%G%,<div>[Generate]</div>}

;Generate
6,[Disorder]
2,[Desc]phobia (fear of %desc%)
2,[Desc]mania (obsession of <u>or</u> with %desc%)
2,[Desc]philia (insatiable desire for %desc%)

:Disorder
1,amnesia
2,catatonia
3,dementia
4,hallucinatory insanity
5,manic despression
6,paranoia
7,schizophrenia

:Desc
1,abluto|desc=washing or bathing|
2,acaro|desc=ticks and mites, and the diseases they transmit|
3,aero|desc=air, atmosphere, weather, or gas|
4,agro|desc=agricultural soils, or open spaces|
5,ailuro|desc=cats|
6,algo|desc=algae|
7,ambulo|desc=walking|
8,andro|desc=men|
9,anemo|desc=wind, by wind, air drafts, or whim|
10,angelo|desc=angels|
11,angio|desc=blood vessels and flow and lymphatic system|
12,Anglo|desc=England, the English, and English culture|
13,antho|desc=flowers|
14,anthropo|desc=human, humans, humanity, or society|
15,apio|desc=bees|
16,arachno|desc=spiders|
17,arist|desc=the best or noble|
18,arithmo|desc=numbers|
19,astro|desc=stars and celestial space|
20,audio|desc=noise, speech, hearing, or sound|
21,bacterio|desc=bacteria|
22,baro|desc=gravity or gravitational forces|
23,biblio|desc=books|
24,bio|desc=life or living material|
25,botano|desc=plants|
26,bronto|desc=thunder and lightning|
27,cano|desc=dogs|
28,carcino|desc=cancer|
29,cardio|desc=heart|
30,carpo|desc=fruit|
31,carto|desc=cards|
32,catapeda|desc=jumping from high or low places|
33,catoptro|desc=mirrors|
34,cerauno|desc=thunder, lightning, and thunderbolts|
35,chiro|desc=hands|
36,chromo|desc=colors|
37,chrono|desc=time|
38,chryso|desc=precious metals|
39,clino|desc=bed|
40,comet|desc=comets|
41,concho|desc=shells|
42,copro|desc=feces and fecal matter|
