# ------------------------------------------------------
# Created by Valminder August 22, 2012.
# ------------------------------------------------------
#
# From Blood & Brains : Zombie Hunter Guide 
#

%CRMod%,0
%CR%,0
%Description%,0
%RerollDef%,0
%RerollHAb%,0
%RerollLAb%,0
%RerollMov%,0
%RerollSpA%,0
%RerollVul%,0

%Contagion%,0
%Defenses%,0
%Hardiness%,0
%High Ability%,0
%Hunger%,0
%Low Ability%,0
%Movement%,0
%Origin%,0
%Senses%,0
%Special Attack%,0
%Type%,0
%Vulnerability%,0

:Start
1,[Generate]

;Tab
1,{Loop~5,&nbsp;}

;Generate
1,|CR=0|
_<b><u>Type</u>:</b> [Type] {If~%Type%!=0? {Color~Green,(%Type%)}}<br>
_<b><u>Senses</u>:</b> [Senses] {If~%Senses%!=0? {Color~Blue,(%Senses%)}}<br>
_|RerollDef=0|<b><u>Defenses</u>:</b> [Defenses] {If~%Defenses%!=0? {Color~Blue,(%Defenses%)}}{If~%RerollDef%=1?[GenDef2]}<br>
_|RerollMov=0|<b><u>Movement</u>:</b> [Movement] {If~%Movement%!=0? {Color~Blue,(%Movement%)}}{If~%RerollMov%>0?[GenMov2]}{If~%RerollMov%=2?[GenMov3]}<br>
_<b><u>Hunger</u>:</b> [Hunger] {If~%Hunger%!=0? {Color~Blue,(%Hunger%)}}<br>
_|RerollVul=0|<b><u>Vulnerability</u>:</b> [Vulnerability] {If~%Vulnerability%!=0? {Color~Blue,(%Vulnerability%)}}{If~%RerollVul%=1?[GenVul2]}<br>
_<b><u>Hardiness</u>:</b> [Hardiness] {If~%Hardiness%!=0? {Color~Blue,(%Hardiness%)}}<br>
_|RerollHAb=0|<b><u>High Ability</u>:</b> [High Ability] {If~%High Ability%!=0? {Color~Blue,(%High Ability%)}}{If~%RerollHAb%=1?[GenHAb2]}<br>
_|RerollLAb=0|<b><u>Low Ability</u>:</b> [Low Ability] {If~%Low Ability%!=0? {Color~Blue,(%Low Ability%)}}{If~%RerollLAb%=1?[GenLAb2]}<br>
_|RerollSpA=0|<b><u>Special Attack</u>:</b> [Special Attack] {If~%Special Attack%!=0? {Color~Blue,(%Special Attack%)}}{If~%RerollSpA%=1?[GenSpA2]}<br>
_<b><u>Contagion</u>:</b> [Contagion] {If~%Contagion%!=0? {Color~Blue,(%Contagion%)}}<br>
_<b><u>Origin</u>:</b> [~Origin]<br>
_<br><b>CR=</b> %CR%<br>

:GenDef2
1,<br>[Tab][Defenses] {If~%Defenses%!=0? {Color~Blue,(%Defenses%)}}

:GenHAb2
1,<br>[Tab][High Ability] {If~%High Ability%!=0? {Color~Blue,(%High Ability%)}}

:GenLAb2
1,<br>[Tab][Low Ability] {If~%Low Ability%!=0? {Color~Blue,(%Low Ability%)}}

:GenMov2
1,<br>[Tab][Movement] {If~%Movement%!=0? {Color~Blue,(%Movement%)}}

:GenMov3
1,<br>[Tab][Movement] {If~%Movement%!=0? {Color~Blue,(%Movement%)}}

:GenSpA2
1,<br>[Tab][Special Attack] {If~%Special Attack%!=0? {Color~Blue,(%Special Attack%)}}

:GenVul2
1,<br>[Tab][Vulnerability] {If~%Vulnerability%!=0? {Color~Blue,(%Vulnerability%)}}


# -------------------------------------------------------

;Type
10,Normal|CR+0||Type=The zombie has the same type that it had in life.|
70,Undead|CR+2||Type=0|
15,Construct|CR+1||Type=The zombie is a patchwork construct similar to a ﬂesh golem.|
5,Plant|CR+1||Type=The zombie is actually a form of plant life that has formed around bones and animated them.|

;Senses
40,Normal|CR+0||Senses=The zombie has the same senses that it had in life.|
30,Scent (Ex)|CR+1||Senses=The zombie can smell brains. This special quality allows a zombie to detect living enemies, sniff out hidden foes, and track by sense of smell. Zombies with  the scent ability can identify familiar odors just as humans do familiar sights. The zombie can detect living opponents within 30 feet by sense of smell. If  the opponent is upwind, the range increases to 60 feet; if downwind, it drops to 15 feet. The zombie can take a move action to note the direction of the scent.  Whenever the zombie comes within 5 feet of the source, the zombie pinpoints the source’s location. A zombie with the Track feat and the scent ability can follow  tracks by smell, making a Wisdom (or Survival) check to ﬁnd or follow a track. The typical DC for a fresh trail is 10 (no matter what kind of surface holds the  scent). This DC increases or decreases depending on how strong the quarry’s odor is, the number of living creatures, and the age of the trail. For each hour  that the trail is cold, the DC increases by 2. The ability otherwise follows the rules for the Track feat. Zombies tracking by scent ignore the effects of surface conditions and poor visibility.|
20,Lifesense (Su)|CR+1||Senses=The zombie notices and locates living creatures within 60 feet, just as if it possessed the blindsight ability. It also automatically senses the strength of their life  force, as if it had cast deathwatch.|
10,Tremorsense (Ex)|CR+1||Senses=The zombie is blind.  However, it is sensitive to vibrations in the ground and can automatically pinpoint the location of anything that is in contact with the  ground up to 60 feet away.|

;!Defenses
10,Normal|CR+0||Defenses=The zombie has the same defenses it had in life.|
20,Damage Reduction (10/piercing)|CR+1||Defenses=0|
10,Damage Reduction (10/silver)|CR+1||Defenses=0|
10,Immune to Acid|CR+1||Defenses=0|
10,Immune to Cold|CR+1||Defenses=0|
10,Immune to Electrical|CR+1||Defenses=0|
10,Immune to Fire|CR+1||Defenses=0|
10,Immune to Sonic|CR+1||Defenses=0|
5,Resistant to Turning|CR+1||Defenses=The zombie is considered to be double its Hit Dice for the purposes of turning.|
5,[Defenses]|RerollDef=1|

;!Movement
1,[Movement]{If~{Dice~1d4}=1?|RerollMov=2|/|RerollMov=1|}
20,Normal|CR+0||Movement=The zombie retains the normal movement it had in life.|
30,Shamble (Ex)|CR-2||Movement=The zombie has poor reﬂexes and can perform only a single move action or attack action each round. A zombie can move up to its speed and attack in the same round, but only if it attempts a charge.|
10,Burrow (Su)|CR+1||Movement=The zombie can tunnel through dirt at 30 feet per round, but not through rock. Zombies cannot charge or run while burrowing.|
10,Hop (Su)|CR+1||Movement=The zombie can hop vertically or horizontally up to 30 feet per round without making Jump checks. It has a +8 racial bonus on any Jump check to perform some special action or avoid a hazard. The zombie can always choose to take 10 on a Jump check, even if distracted or endangered. The zombie can use the run action while jumping, provided it jumps in a straight line.|
10,Swim (Ex)|CR+0||Movement=The zombie can move through water at 30 feet per round without making Swim checks. It has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. The zombie can always choose to take 10 on a Swim check, even if distracted or endangered. The zombie can use the run action while swimming, provided it swims in a straight line.|
