# Last Update: verified by Valminder Dec 20, 2005.
# 
:Start
1-10000,[Start]
10001,BROUSSEAU
10002,BRIDWELL
10003,BRAATEN
10004,BORKHOLDER
10005,BLOOMQUIST
10006,BJORK
10007,BARTELT
10008,ARP
10009,AMBURGEY
10010,YEARY
10011,YAO
10012,WHITEFIELD
10013,VINYARD
10014,VICENTE
10015,VANVALKENBURG
10016,TWITCHELL
10017,TIMMINS
10018,TESTER
10019,TAPPER
10020,STRINGHAM
10021,STARCHER
10022,SPOTTS
10023,SLAUGH
10024,SIMONSEN
10025,SHEFFER
10026,SEQUEIRA
10027,ROSATI
10028,RODE
10029,RHYMES
10030,REZA
10031,RECORD
10032,QUINT
10033,POLLAK
10034,PEIRCE
10035,PATILLO
10036,PARKERSON
10037,PAIVA
10038,NILSON
10039,NICE
10040,NEVIN
10041,NARCISSE
10042,NAIR
10043,MITTON
10044,MERRIAM
10045,MERCED
10046,MEINERS
10047,MCKAIN
10048,MCELVEEN
10049,MCBETH
10050,MARSDEN
10051,MAREZ
10052,MANKE
10053,MAHURIN
10054,MABREY
10055,LUPER
10056,KRULL
10057,KEES
10058,ILES
10059,HUNSICKER
10060,HORNBUCKLE
10061,HOLTZCLAW
10062,HIRT
10063,HINNANT
10064,HESTON
10065,HERING
10066,HEMENWAY
10067,HEGWOOD
10068,HEARNS
10069,HALTERMAN
10070,HALLS
10071,GUITERREZ
10072,GROTE
10073,GRANILLO
10074,GRAINGER
10075,GLASCO
10076,GILDER
10077,GARREN
10078,GARLOCK
10079,GAREY
10080,FU
10081,FRYAR
10082,FREDRICKS
10083,FRAIZER
10084,FOXX
10085,FOSHEE
10086,FERREL
10087,FELTY
10088,FEATHERS
10089,EVERITT
10090,EVENS
10091,ESSER
10092,ELKIN
10093,EBERHART
10094,DURSO
10095,DUGUAY
10096,DRISKILL
10097,DOSTER
10098,DEWALL
10099,DEVEAU
10100,DEMPS
10101,DEMAIO
10102,DELREAL
10103,DELEO
10104,DELAY
10105,DEEM
10106,DARRAH
10107,CUMBERBATCH
10108,CULBERSON
10109,CRANMER
10110,CORDLE
10111,COLGAN
10112,CHESLEY
10113,CAVALLO
10114,CASTELLON
10115,CASTELLI
10116,CARRERAS
10117,CARNELL
10118,CARMON
10119,CARMEN
10120,CARLUCCI
10121,BOTTOM
10122,BONTRAGER
10123,BLUMBERG
10124,BLASINGAME
10125,BECTON
10126,AYON
10127,ARTRIP
10128,ARLINE
10129,ANDUJAR
10130,ALKIRE
10131,ALDER
10132,AGAN
10133,ZUKOWSKI
10134,ZUCKERMAN
10135,ZEHR
10136,WROBLEWSKI
10137,WRIGLEY
10138,WOODSIDE
10139,WIGGINTON
10140,WESTMAN
10141,WESTGATE
10142,WERTS
10143,WASHAM
10144,WARDLOW
10145,WALSER
10146,WAITERS
10147,TELLER
10148,TADLOCK
10149,STUCK
10150,STRINGFIELD
10151,STIMPSON
10152,STICKLEY
10153,STARBUCK
10154,STANDISH
10155,SPURLIN
10156,SPINDLER
10157,SPELLER
10158,SPAETH
10159,SOTOMAYOR
10160,SOK
10161,SLUDER
10162,SHRYOCK
10163,SHEPARDSON
10164,SHATLEY
10165,SCANNELL
10166,SANTISTEVAN
10167,ROSNER
10168,ROLLAND
10169,RHODE
10170,RESTO
10171,REINHARD
10172,RATHBURN
10173,PRISCO
10174,POULSEN
10175,PINNEY
10176,PHARES
10177,PENNOCK
10178,PASTRANA
10179,OVIEDO
10180,OSTLER
10181,NOTO
10182,NAUMAN
10183,MULFORD
10184,MOISE
10185,MOBERLY
