# Last Update: verified by Valminder Dec 20, 2005.
# 
:Start
1-10000,[Start]
10001,MAISONAVE
10002,MAINORD
10003,MAINO
10004,MAINARD
10005,MAILLARD
10006,MAIA
10007,MAHMUD
10008,MAHDI
10009,MAHAPATRA
10010,MAHALEY
10011,MAHAFFY
10012,MAGOUIRK
10013,MAGLARAS
10014,MAGAT
10015,MAGAN
10016,MAGA
10017,MAFFIA
10018,MADRAZO
10019,MADRANO
10020,MADITZ
10021,MACKERT
10022,MACKELLAR
10023,MACKELL
10024,MACHT
10025,MACCHIA
10026,MACCARTHY
10027,MAAHS
10028,LYTAL
10029,LYE
10030,LUZAR
10031,LUZADER
10032,LUTJEN
10033,LUNGER
10034,LUNAN
10035,LUMA
10036,LUKINS
10037,LUHMANN
10038,LUERS
10039,LUDVIGSEN
10040,LUDLAM
10041,LUDEMANN
10042,LUCHINI
10043,LUCENTE
10044,LUBRANO
10045,LUBOW
10046,LUBER
10047,LUBECK
10048,LOWING
10049,LOVEN
10050,LOUP
10051,LOUISE
10052,LOUGE
10053,LOSCO
10054,LORTS
10055,LORMAND
10056,LORENZETTI
10057,LONGFORD
10058,LONGDEN
10059,LONGBRAKE
10060,LOKHMATOV
10061,LOGE
10062,LOEVEN
10063,LOESER
10064,LOCKET
10065,LOCEY
10066,LOCATELLI
10067,LITKA
10068,LISTA
10069,LISONBEE
10070,LISENBEE
10071,LISCANO
10072,LIRANZO
10073,LIQUORI
10074,LIPTROT
10075,LIONETTI
10076,LIO
10077,LINSCOMB
10078,LINKOVICH
10079,LININGTON
10080,LINGEFELT
10081,LINDLER
10082,LINDIG
10083,LINDALL
10084,LINCKS
10085,LINANDER
10086,LINAN
10087,LIMBURG
10088,LIMBRICK
10089,LIMBACH
10090,LIKOS
10091,LIGHTHALL
10092,LIFORD
10093,LIETZKE
10094,LIEBE
10095,LIDDICOAT
10096,LICKLEY
10097,LICHTER
10098,LIBEL
10099,LIAS
10100,LIAPIS
10101,LEZO
10102,LEWAN
10103,LEVITZ
10104,LEVESGUE
10105,LEVERSON
10106,LEVANDER
10107,LEUTHAUSER
10108,LETBETTER
10109,LESUER
10110,LESMEISTER
10111,LESLY
10112,LERER
10113,LEPPANEN
10114,LEPINSKI
10115,LEOTA
10116,LENHERR
10117,LEMBRICK
10118,LELONEK
10119,LEISTEN
10120,LEISS
10121,LEINS
10122,LEINGANG
10123,LEINBERGER
10124,LEINBACH
10125,LEIKAM
10126,LEIDIG
10127,LEHTONEN
10128,LEHNERT
10129,LEHEW
10130,LEGIER
10131,LEFCHIK
10132,LECY
10133,LECONTE
10134,LECHER
10135,LEBRECHT
10136,LEATHER
10137,LEAPER
10138,LAWTER
10139,LAWRENZ
10140,LAVY
10141,LAUR
10142,LAUDERBAUGH
10143,LAUDEN
10144,LAUDATO
10145,LATTING
10146,LATSKO
