# Last Update: verified by Valminder Dec 20, 2005.
# 
:Start
1-20000,[Start]
20001,RODA
20002,RISING
20003,RINI
20004,RIGGAN
20005,RIENTS
20006,RIEDL
20007,RHINES
20008,RESS
20009,REINBOLD
20010,RASCHKE
20011,RARDIN
20012,RAIN
20013,RACICOT
20014,QUILLIN
20015,PUSHARD
20016,PRIMROSE
20017,PRIES
20018,PRESSEY
20019,PRECOURT
20020,PRATTS
20021,POSTEL
20022,POPPELL
20023,PLUMER
20024,PINGREE
20025,PIERONI
20026,PFLUG
20027,PETRE
20028,PETRARCA
20029,PETERKA
20030,PERU
20031,PERKIN
20032,PERGANDE
20033,PERANIO
20034,PENNA
20035,PEKAR
20036,PEA
20037,PAULHUS
20038,PASQUARIELLO
20039,PARRAS
20040,PARMENTIER
20041,PARA
20042,PANZER
20043,PAMPLIN
20044,OVIATT
20045,OSTERHOUDT
20046,OSTENDORF
20047,OSMUN
20048,ORTMAN
20049,ORLOFF
20050,ORBAN
20051,ONOFRIO
20052,OLVEDA
20053,OLTMAN
20054,OKEEFFE
20055,OCANA
20056,NUNEMAKER
20057,NOVY
20058,NOFFSINGER
20059,NISH
20060,NIDAY
20061,NETHERY
20062,NESTLE
20063,NEMITZ
20064,NEIDERT
20065,NADAL
20066,NACK
20067,MUSZYNSKI
20068,MUNSTERMAN
20069,MULHERIN
20070,MORTIMORE
20071,MORTER
20072,MONTESINO
20073,MONTALVAN
20074,MONTALBANO
20075,MOMON
20076,MOMAN
20077,MOM
20078,MOGAN
20079,MINNS
20080,MILLWARD
20081,MILLING
20082,MICHELSEN
20083,MICHEAL
20084,MEWBORN
20085,METRO
20086,METAYER
20087,MENSCH
20088,MELOY
20089,MEGGS
20090,MEADERS
20091,MCSORLEY
20092,MCMENAMIN
20093,MCLEAD
20094,MCLAUCHLIN
20095,MCGUFFEY
20096,MCGUCKIN
20097,MCGLAUGHLIN
20098,MCFERRON
20099,MCENTYRE
20100,MCCRUM
20101,MCCAWLEY
20102,MCBAIN
20103,MAYHUE
20104,MAU
20105,MATZEN
20106,MATTON
20107,MARSEE
20108,MARRIN
20109,MARLAND
20110,MARKUM
20111,MANTILLA
20112,MANFRE
20113,MALTA
20114,MAKUCH
20115,MADLOCK
20116,MACLAREN
20117,MACAULEY
20118,LUZIER
20119,LUTHY
20120,LUFKIN
20121,LUCENA
20122,LOUDIN
20123,LOTHROP
20124,LORCH
20125,LONA
20126,LOLL
20127,LOADHOLT
20128,LISA
20129,LIPPOLD
20130,LIKES
20131,LICHTMAN
20132,LIBERTO
20133,LIAKOS
20134,LEWICKI
20135,LEVETT
20136,LEVEL
20137,LENTINE
20138,LEJA
20139,LEGREE
20140,LAWHEAD
20141,LAURO
20142,LAUDER
20143,LARD
20144,LANMAN
20145,LANK
20146,LANING
20147,LAMA
20148,LALOR
20149,KROB
20150,KRIGER
20151,KRIEGEL
20152,KREJCI
20153,KREISEL
20154,KOZEL
20155,KOS
20156,KONKEL
20157,KOLSTAD
20158,KOENEN
20159,KOCSIS
20160,KNOBLOCK
20161,KNEBEL
20162,KLOPFER
20163,KLEE
20164,KILDAY
20165,KESTEN
20166,KERBS
20167,KEMPKER
20168,KEATHLEY
20169,KAZEE
20170,KAWASAKI
20171,KAUR
20172,KAMER
20173,KAMAKA
20174,KALLENBACH
20175,KAFKA
20176,JERRELL
20177,JEHLE
20178,JAYCOX
20179,JARDIN
20180,JAHNS
20181,IVESTER
20182,HYPPOLITE
20183,HYCHE
20184,HUSBANDS
20185,HUR
20186,HUPPERT
20187,HULIN
20188,HUBLEY
20189,HORSEY
20190,HORNAK
20191,HOLZWARTH
20192,HOLMON
20193,HOLLABAUGH
20194,HOLAWAY
20195,HODES
20196,HOAK
20197,HINESLEY
20198,HILLWIG
20199,HILLEBRAND
20200,HIGHFIELD
20201,HESLOP
20202,HERRADA
20203,HENDRYX
20204,HELLUMS
20205,HEIT
20206,HEISHMAN
20207,HEINDEL
20208,HAYSLIP
20209,HAYFORD
20210,HASTIE
20211,HARTGROVE
20212,HANUS
20213,HAKIM
20214,HAINS
20215,HADNOTT
20216,GUNDERSEN
20217,GULINO
20218,GUIDROZ
20219,GUEBERT
20220,GRESSETT
20221,GREENHOUSE
20222,GRAYDON
20223,GRAMLING
20224,GRAHN
20225,GOUPIL
20226,GORY
20227,GORELICK
20228,GOODREAU
20229,GOODNOUGH
20230,GOLAY
20231,GOING
20232,GOERS
20233,GLATZ
20234,GILLIKIN
20235,GIESEKE
20236,GIAMMARINO
20237,GETMAN
20238,GERONIMO
20239,GERARDO
20240,GENSLER
20241,GAZDA
20242,GARIBALDI
20243,GAHAN
20244,FURY
20245,FUNDERBURKE
20246,FUKUDA
20247,FUGITT
20248,FUERST
20249,FORTMAN
20250,FORSGREN
20251,FORMICA
20252,FLUKE
20253,FLINK
20254,FITTON
20255,FELTZ
20256,FEKETE
20257,FEIT
20258,FEHRENBACH
20259,FARONE
20260,FARINAS
20261,FARIES
20262,FAGEN
20263,EWIN
20264,ESQUILIN
20265,ESCH
20266,ENDERLE
20267,ELLERY
20268,ELLERS
20269,EKBERG
20270,EGLI
20271,EFFINGER
20272,DYMOND
20273,DULLE
20274,DULA
20275,DUHE
